Ensembl_ID	PD1-001	PD1-003	PD1-004	PD1-005	PD1-011	PD1-017	PD1-019	PD1-020	PD1-027
ENSG00000009335	2154	8562	6279	3336	10679	9636	425	9042	8518
ENSG00000009413	2062.47	25285.56	5557.79	4261.24	14482.17	5013.31	761.88	9319.3	5282.34
ENSG00000009694	48	194	410	620	2563.79	264	764.72	158	3.22
ENSG00000009709	0	0	0	2	2	0	104	9	0
ENSG00000009724	43	902	617	436	1135.6	801	310	981.99	629
ENSG00000009765	1	3	0	1	0	17	87	0	0
ENSG00000009780	50.49	400	181	143	491	216	33	249	274
ENSG00000009790	72.35	181.31	851.69	349.45	1761.87	577.4	252.38	307.84	2148.99
ENSG00000009830	94	767	92	90	183	203	69	270	224
ENSG00000009844	118	1767	1013	378	1536	999	62	1355	933
ENSG00000009950	1711	6702	101	184	477	2179	313	2964	52
ENSG00000009954	1484	3942	3281	2553	6690	5057	337	4431	5323
ENSG00000010017	321	1038	860.48	431.97	1982.71	934.88	100	1219.69	1188
ENSG00000010030	213	135	936	375	418	425	179	501	742
ENSG00000010072	522.76	1336.95	1892.95	976.2	2559.97	2064.24	681.14	2554.72	1005.08
ENSG00000010165	1108	2191	2471	1965	3862	4227	624	5275	2496
ENSG00000010219	183.78	658.9	579.22	410.83	1111.47	2339.14	331.2	1393.76	527.65
ENSG00000010244	1339	10930	8815	6561	14019.99	15662	291	12466	8584
ENSG00000010256	2249	2177	3041	1671	4686	3928	395	3879	8944
ENSG00000010270	71	1337	638	400	1159	805	86	681	397
ENSG00000010278	3479	3459	2655	679	6885	31180	66	9037	4071
ENSG00000010282	1	2335	2	39	13.54	0	100.45	9	2
ENSG00000010292	3723	6205	4378	3181	6863	128973.95	358.89	8681.78	7443
ENSG00000010295	162	615	477	549	1482	905	265	365	745
ENSG00000010310	9	16	54	36	76	41	131	25	47
ENSG00000010318	10	38	53	17	91	30	39	43	125
ENSG00000010319	103	166	247	49	560	65	70	123	192
ENSG00000010322	3725	2812	7983	4469	19618	5895	954	6592	18825
ENSG00000010327	3707.03	4204.97	10454.82	9798	30576.74	7858.69	837.61	6731.71	5564.88
ENSG00000010361	829.27	144.14	316.78	266.93	495.89	491.88	128.3	611.15	996.87
ENSG00000010379	23	45	27	22	80	47	398	50	25
ENSG00000010404	692.55	949.25	1156.93	779.36	2550.63	1107.13	157.25	1214.85	889.57
ENSG00000010438	1	16	0	2	31	10	97	4	5
ENSG00000010539	244.52	749	549	333	846.28	824.17	183	805.41	563
ENSG00000010610	204	602	1382	637	1249	656	220	404	238
ENSG00000010626	111	325	126	188	297	392	140	246	333
ENSG00000010671	57	84	452	172	652	216	86	132	54
ENSG00000010704	27	114	238	490	454	270	213	111	28
ENSG00000010803	576.09	2708.81	978.82	876	2489.23	4200.86	192.24	849.53	2339.67
ENSG00000010810	132	1581	2236	1106	5800	1217	214	1270	1038
ENSG00000010818	961	4926	4865	3398	11242	4778	1361	7656	3344
ENSG00000010932	54	47	211	32	579	47	143	155	14
ENSG00000011007	1074	5772	2570	1979	4528	2788	515	4341	3406
ENSG00000011009	410.99	1595.22	577	461	664.74	867.99	123	1295	1814.98
ENSG00000011021	359.92	1514.41	1089.32	919.67	1592.89	1001.73	124.3	1043.9	1649.46
ENSG00000011028	2724.27	7330	3682.96	3432.89	12153.6	2751.45	542.28	7481.26	9896.84
